question;answer;procent_right
blue_symbol_9 green_word_6 red_word_7;red_word_6 green_word_7 blue_symbol_9;33.33333333333333
red_symbol_8 blue_word_9 green_word_7;green_word_7 green_word_9 blue_symbol_8;33.33333333333333
green_word_2 blue_symbol_6 red_word_8;red_word_6 green_word_2 blue_symbol_6;66.66666666666666
red_symbol_5 green_word_8 blue_word_9;red_symbol_5 green_word_8 blue_word_9;100.0
blue_symbol_3 green_word_9 red_symbol_2;red_symbol_3 green_symbol_2 blue_word_9;0.0
red_word_2 blue_symbol_3 green_symbol_1;red_word_2 green_symbol_3 blue_symbol_1;33.33333333333333
green_word_5 red_symbol_8 blue_word_2;red_symbol_6 green_word_5 blue_word_4;33.33333333333333
blue_symbol_4 red_word_8 green_symbol_9;red_word_4 green_symbol_8 blue_symbol_1;0.0
blue_word_8 red_symbol_6 green_symbol_3;red_word_3 green_symbol_5 blue_word_8;33.33333333333333
red_word_6 green_symbol_2 blue_symbol_5;red_word_6 green_symbol_2 blue_symbol_5;100.0
green_symbol_1 red_word_3 blue_word_9;red_word_3 green_symbol_1 blue_word_9;100.0
blue_symbol_7 red_word_5 green_word_8;red_word_5 green_word_8 blue_symbol_7;100.0
green_word_5 blue_symbol_2 red_word_7;red_word_7 green_word_5 blue_symbol_2;100.0
red_symbol_8 blue_word_5 green_word_9;red_symbol_8 green_word_5 blue_word_9;33.33333333333333
green_symbol_7 red_word_1 blue_word_6;red_word_1 green_symbol_7 blue_word_6;100.0
red_symbol_7 blue_word_2 green_symbol_6;red_word_1 red_word_2 red_word_3;0.0
green_word_8 blue_symbol_2 red_word_3;red_symbol_2 green_word_8 blue_word_3;33.33333333333333
red_symbol_2 blue_word_6 green_word_8;red_symbol_2 green_word_2 blue_word_6;66.66666666666666
green_word_5 blue_symbol_9 red_symbol_4;red_symbol_4 green_word_5 blue_symbol_8;66.66666666666666
blue_symbol_9 red_word_2 green_word_4;red_word_2 green_word_4 green_symbol_9;66.66666666666666
green_symbol_6 red_word_9 blue_word_7;red_word_9 green_symbol_6 blue_word_3;66.66666666666666
green_word_2 red_symbol_9 blue_symbol_1;red_word_1 green_word_3 green_symbol_4;0.0
blue_symbol_2 red_word_6 green_symbol_5;red_word_6 green_symbol_2 blue_symbol_5;33.33333333333333
green_symbol_4 red_word_2 blue_symbol_5;red_word_2 green_symbol_4 blue_symbol_5;100.0
red_symbol_1 green_word_3 blue_symbol_8;red_word_3 green_symbol_1 blue_symbol_7;0.0
blue_symbol_7 red_word_1 green_symbol_5;red_word_1 green_symbol_5 blue_symbol_7;100.0
blue_symbol_9 green_word_8 red_word_3;red_word_3 green_word_8 blue_symbol_8;66.66666666666666
green_symbol_7 red_word_6 blue_symbol_3;red_word_6 green_symbol_7 blue_symbol_3;100.0
